"Comment","Designator","Footprint","JLCPCB Part #"
"1uF","C1,C5,C6,C7,C8","Capacitor_SMD:C_0402_1005Metric","C52923"
"10uF","C2,C4,C9","esp32-wrover:C_0603_1608Metric","C19702"
"USB_C_Receptacle_USB2.0","J2","footprints:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"470 Ohm","R10,R12","Resistor_SMD:R_0402_1005Metric","C25117"
"10k","R5,R6,R11,R13,R14","Resistor_SMD:R_0402_1005Metric","C25744"
"5.1k","R8,R9","Resistor_SMD:R_0402_1005Metric","C25905"
"SW_SPST","SW1,SW2","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","C318893"
"ME6211C33M5G-N","U3","footprints:SOT-23-5","C82942"
"74HCT245","U6","Package_DFN_QFN:DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm","C547496"
"STM32F042G6Ux","U2,U4","Package_DFN_QFN:QFN-28_4x4mm_P0.5mm","C2971720"
