"Designator","Comment","Footprint","JLCPCB Part #"
"C2,C4,C9,C11,C12","10uF","esp32-wrover:C_0603_1608Metric","C19702"
"C5,C6,C7,C8","1uF","Capacitor_SMD:C_0402_1005Metric","C52923"
"J2","USB_C_Receptacle_USB2.0","footprints:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"R1,R2","1k","Resistor_SMD:R_0402_1005Metric","C11702"
"R5,R6,R11,R13,R14","10k","Resistor_SMD:R_0402_1005Metric","C25744"
"R8,R9","5.1k","Resistor_SMD:R_0402_1005Metric","C25905"
"R10,R12","470 Ohm","Resistor_SMD:R_0402_1005Metric","C25117"
"SW1,SW2","SW_SPST","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","C318893"
"U2,U4","STM32F042G6Ux","Package_DFN_QFN:QFN-28_4x4mm_P0.5mm","C2971720"
"U3,U5","ME6211C33M5G-N","footprints:SOT-23-5","C82942"
"U6","74HC245","Package_DFN_QFN:DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm","C503362"
