Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_1206_3216Metric",23.000000,21.000000,195.000000,top
"C5","100nF","C_0402_1005Metric",-5.100000,-9.000000,180.000000,top
"C7","1uF","C_0402_1005Metric",8.400000,0.600000,270.000000,top
"C8","100nF","C_0402_1005Metric",-24.900000,-25.592000,270.000000,top
"C9","10uF","C_1206_3216Metric",-6.200000,2.300000,45.000000,top
"C10","10uF","C_1206_3216Metric",-27.100000,18.800000,180.000000,top
"J2","Conn_01x05_Male","Molex_PicoBlade_53261-0571_1x05-1MP_P1.25mm_Horizontal",8.400000,11.700000,0.000000,top
"Q1","AO3400","SOT-23",28.800000,-13.600000,180.000000,top
"Q2","AO3400","SOT-23",22.600000,-15.000000,0.000000,top
"R3","10k","R_0402_1005Metric",25.800000,-12.800000,180.000000,top
"R4","10k","R_0402_1005Metric",25.800000,-15.400000,0.000000,top
"R5","10k","R_0402_1005Metric",8.000000,5.200000,270.000000,top
"R6","10k","R_0402_1005Metric",-19.800000,-29.600000,180.000000,top
"R7","10k","R_0402_1005Metric",-24.900000,-27.878000,90.000000,top
"R11","10k","R_0402_1005Metric",9.200000,4.600000,270.000000,top
"U1","ESP32-WROVER","XCVR_ESP32-WROVER",2.647987,-17.472828,225.000000,top
"U3","STM32F030F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",-20.582000,-24.830000,0.000000,top
