Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",6.100000,22.600000,270.000000,top
"C2","10uF","C_0603_1608Metric",-1.200000,22.200000,270.000000,top
"C3","100nF","C_0402_1005Metric",8.500000,22.600000,90.000000,top
"C4","10uF","C_0603_1608Metric",-11.600000,20.600000,90.000000,top
"C5","100nF","C_0402_1005Metric",-11.600000,23.100000,270.000000,top
"C6","1uF","C_0402_1005Metric",7.400000,22.600000,90.000000,top
"C7","1uF","C_0402_1005Metric",4.000000,6.800000,270.000000,top
"C8","100nF","C_0402_1005Metric",-8.600000,4.500000,180.000000,top
"C9","10uF","C_0603_1608Metric",-11.600000,17.600000,270.000000,top
"C10","100nF","C_0402_1005Metric",-1.000000,16.600000,180.000000,top
"Q1","AO3400","SOT-23",2.000000,9.900000,90.000000,top
"Q2","AO3400","SOT-23",1.990000,14.340000,180.000000,top
"R1","1k","R_0402_1005Metric",2.010000,17.090000,90.000000,top
"R2","10k","R_0402_1005Metric",9.600000,22.600000,90.000000,top
"R3","10k","R_0402_1005Metric",2.000000,12.000000,180.000000,top
"R4","10k","R_0402_1005Metric",1.000000,17.070000,90.000000,top
"R5","10k","R_0402_1005Metric",1.800000,6.800000,90.000000,top
"R6","10k","R_0402_1005Metric",-6.500000,4.500000,180.000000,top
"R7","10k","R_0402_1005Metric",-11.410000,9.570000,270.000000,top
"R8","5.1k","R_0402_1005Metric",9.300000,18.600000,180.000000,top
"R9","5.1k","R_0402_1005Metric",6.100000,18.600000,0.000000,top
"R10","470 Ohm","R_0402_1005Metric",2.900000,6.800000,270.000000,top
"R11","10k","R_0402_1005Metric",0.700000,6.800000,90.000000,top
"R12","470 Ohm","R_0402_1005Metric",5.100000,6.800000,270.000000,top
"U2","STM32F030C8Tx","LQFP-48_7x7mm_P0.5mm",-5.700000,10.800000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",-6.400000,20.100000,0.000000,top
"U4","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",2.250000,20.937500,90.000000,top
